email,name,phone,physicalAddress,postalAddress,url
acaciahill.school@education.nt.gov.au,Acacia Hill School,(08) 895 52222,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=acacisch
anula.admin@education.nt.gov.au,Anula Primary School,(08) 899 77500,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=anulasch
,Anula Pre School,(08) 899 77500,"73 Yanyula Dr, Anula, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=anulapreschool
,Bakewell Pre School,(08) 899 77400,"5 Hutchison Tce, Bakewell, 0832, NT","tba, tba, 0832, ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=bakewellpreschool
admin.acc@ntschools.net,Araluen Christian School,(08) 8955 3300,"10 Blain St, Alice Springs, NT","10 Blain Street, Alice Springs, 0870, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=aralusch
nt.admin@aiic.nt.edu.au,Australian International Islamic College,(08) 7918 2786,"25 Bowerlee Road, Berrimah NT 0828, NT","25 Bowerlee Road, Berrimah, 0828, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=islamsch
stephen.nimmo@education.nt.gov.au,Arlparra School,(08) 8956 9178,", Arlparra Community, Utopia, NT","PMB 18, via ALICE SPRINGS, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=arlpahs
areyonga.school@education.nt.gov.au,Areyonga School,(08) 8956 7303,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=areyosch
stephanie.valcanis@education.nt.gov.au,Baniyala Garrangali School,(08) 8987 9114,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=baniysch
admin.bakewell@education.nt.gov.au,Bakewell Primary School,(08) 899 77400,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=bakewsch
admin.angurcec@education.nt.gov.au,Angurugu School,(08) 8987 6355,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=angurcec
,Angurugu Pre School,(08) 89876255,"N/A, Angurugu, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=angurugupreschool
admin.ampilat@education.nt.gov.au,Ampilatwatja School,(08) 8956 9265,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ampilsch
cherie.gibbens@education.nt.gov.au,Amoonguna School,(08) 8952 3402,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=amoonsch
carolyn.tucker@education.nt.gov.au,Amanbidji School,(08) 9168 7380,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=amanbsch
admin.umbakumba@education.nt.gov.au,Alyarrmandumanja Umbakumba School,(08) 8987 6793,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=umbaksch
ZuccoliPrimary@education.nt.gov.au,Zuccoli Primary School,(08) 792 30222,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=zuccosch
yulara.school@education.nt.gov.au,Yulara School,(08) 8956 2014,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=yularsch
admin.yuendumu@education.nt.gov.au,Yuendumu School,(08) 8956 4011,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=yuendcec
,Yuendumu Pre School,(08) 8956 4011,"Conniston Road, Yuendumu, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=yuendumupreschool
info@yirara.nt.edu.au,Yirara College,(08) 8950 5644,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=yirarsch
,Yirrkala Pre School,(08) 898 71988,"Rankine Road, Yirrkala, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=yirrkalapreschool
zoe.richardson@education.nt.gov.au,Yarralin School,(08) 8975 0809,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=yarrasch
reception.yipirinya.ntschools.net,Yipirinya School,(08) 8952 5633,"Lovegrove Drive, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=yipirsch
admin.yirrkala@ntschools.net,Yirrkala School,(08) 898 71988,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=yirrkcec
admin.xcec@nt.catholic.edu.au,Xavier Catholic College,(08) 8978 3970,"Wurrumiyanga, Bathurst Island, NT","PMB 139,, via Winnellie, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=xaviesch
tba,Wurankuwu Homeland Learning Centre,(08) 8978 3986,"Community ID 868, Wurankuwu, NT","Nguiu, Bathurst Island, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wuransch
wulagi.primary@education.nt.gov.au,Wulagi Primary School,(08) 898 37800,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wulagsch
,Wulagi Pre School,(08) 898 37818,"24 Brolga St, Wulagi, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wulagipreschool
admin.woolasch@education.nt.gov.au,Woolaning School,(08) 8978 2334,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=woolasch
woolianna.school@education.nt.gov.au,Woolianna School,(08) 8978 2984,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=woolisch
woodroffe.ps@education.nt.gov.au,Woodroffe Primary School,(08) 898 37600,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=woodrsch
admin.wugulsch@education.nt.gov.au,Wugularr School,(08) 8975 4529,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wugulsch
,Woodroffe Pre School,(08) 8983 7611,"55 Woodroffe Ave, Woodroffe, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=woodroffepreschool
willowra.school@education.nt.gov.au,Willowra School,(08) 8956 8408,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=willosch
l.kenny@education.nt.gov.au,Watiyawanu School,(08) 8956 8555,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=watiysch
tba,Watarrka School,(08) 8956 7758,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=watarsch
,Wanguri Pre School,(08) 8927 1655,"46 Gsell St, Wanguri, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wanguripreschool
ken.millar@education.nt.gov.au,Warruwi School,(08) 8979 0222,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=warrusch
walungurru.school@education.nt.gov.au,Walungurru School,(08)  8964 6056,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=walunsch
wanguri.prim@education.nt.gov.au,Wanguri Primary School,(08) 8927 1655,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wangusch
