color,currency,image,inStock,name,os,page_num,price,processor,ram,rom,screenSize,url,wasPrice
desert titanium,AED,https://cdn.media.amplience.net/i/emax/100000366247_1,1,Apple iPhone 16 Pro Max 512GB Desert Titanium 5G UAE Version,iOS 18,1,5949.0,A18 Pro Chip,,512gb,6.9 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-max-512gb-desert-titanium-5g-uae-version-p-01J7NKYPPYGRBC0QP2T8460366-Desert Titanium-512GB.html,5949.0
natural titanium,AED,https://cdn.media.amplience.net/i/emax/100000366240_1,1,Apple iPhone 16 Pro Max 256GB Natural Titanium 5G UAE Version,iOS 18,1,5099.0,A18 Pro Chip,,256gb,6.9 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-max-256gb-natural-titanium-5g-uae-version-p-01J7NKYPPYGRBC0QP2T8460366-Natural Titanium-256GB.html,5099.0
desert titanium,AED,https://cdn.media.amplience.net/i/emax/100000366247_1,1,Apple iPhone 16 Pro Max 256GB Desert Titanium 5G UAE Version,iOS 18,1,5999.0,A18 Pro Chip,,256gb,6.9 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-max-256gb-desert-titanium-5g-uae-version-p-01J7NKYPPYGRBC0QP2T8460366-Desert Titanium-256GB.html,5999.0
white titanium,AED,https://cdn.media.amplience.net/i/emax/100000366238_1,1,Apple iPhone 16 Pro Max 256GB White Titanium 5G UAE Version,iOS 18,1,5099.0,A18 Pro Chip,,256gb,6.9 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-max-256gb-white-titanium-5g-uae-version-p-01J7NKYPPYGRBC0QP2T8460366-White Titanium-256GB.html,5099.0
desert titanium,AED,https://cdn.media.amplience.net/i/emax/100000366231_1,1,Apple iphone 16 Pro 1TB Desert Titanium 5G UAE Version,iOS 18,1,6399.0,A18 Pro Chip,,1tb,6.3 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-1tb-desert-titanium-5g-uae-version-p-01J7NKYPPN7ABX11KECDW018XH-Desert Titanium-1TB.html,6399.0
white titanium,AED,https://cdn.media.amplience.net/i/emax/100000366230_1,1,Apple iphone 16 Pro 1TB White Titanium 5G UAE Version,iOS 18,1,6399.0,A18 Pro Chip,,1tb,6.3 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-1tb-white-titanium-5g-uae-version-p-01J7NKYPPN7ABX11KECDW018XH-White Titanium-1TB.html,6399.0
black titanium,AED,https://cdn.media.amplience.net/i/emax/100000366221_1,1,Apple iphone 16 Pro 1TB Black Titanium 5G UAE Version,iOS 18,1,6399.0,A18 Pro Chip,,1tb,6.3 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-1tb-black-titanium-5g-uae-version-p-01J7NKYPPN7ABX11KECDW018XH-Black Titanium-1TB.html,6399.0
natural titanium,AED,https://cdn.media.amplience.net/i/emax/100000366232_1,1,Apple iphone 16 Pro 512GB Natural Titanium 5G UAE Version,iOS 18,1,5549.0,A18 Pro Chip,,512gb,6.3 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-512gb-natural-titanium-5g-uae-version-p-01J7NKYPPN7ABX11KECDW018XH-Natural Titanium-512GB.html,5549.0
desert titanium,AED,https://cdn.media.amplience.net/i/emax/100000366231_1,1,Apple iphone 16 Pro 512GB Desert Titanium 5G UAE Version,iOS 18,1,5549.0,A18 Pro Chip,,512gb,6.3 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-512gb-desert-titanium-5g-uae-version-p-01J7NKYPPN7ABX11KECDW018XH-Desert Titanium-512GB.html,5549.0
white titanium,AED,https://cdn.media.amplience.net/i/emax/100000366230_1,1,Apple iphone 16 Pro 512GB White Titanium 5G UAE Version,iOS 18,1,5549.0,A18 Pro Chip,,512gb,6.3 Inch,uae.emaxme.com/buy-apple-iphone-16-pro-512gb-white-titanium-5g-uae-version-p-01J7NKYPPN7ABX11KECDW018XH-White Titanium-512GB.html,5549.0
