category,colour,currency,image,name,offer_price,os_version,page_number,processor,ram,regular_price,rom,url
Mobile,Teal,AED,https://f.nooncdn.com/p/pnsku/N70105525V/45/_/1725964810/098b0846-7a2c-41db-bfca-6f445762f0f8.jpg?format=jpg&width=240,iPhone 16 Plus 128GB Teal 5G With FaceTime - Middle East Version,,iOS 18,1,Apple Bionic,8 GB,4099.0,128 GB,https://www.noon.com/uae-en/iphone-16-plus-128gb-teal-5g-with-facetime-middle-east-version/N70105536V/p/?o=b8640052847846ac
Mobile,Ultramarine,AED,https://f.nooncdn.com/p/pnsku/N70105553V/45/_/1725964784/b9c3c665-5807-4632-82b9-e27e34ec9712.jpg?format=jpg&width=240,iPhone 16 256GB Ultramarine 5G With FaceTime - Middle East Version,,iOS 18,1,Apple Bionic,8 GB,4099.0,256 GB,https://www.noon.com/uae-en/iphone-16-256gb-ultramarine-5g-with-facetime-middle-east-version/N70105554V/p/?o=bf8b105384c4bada
Mobile,White Titanium,AED,https://f.nooncdn.com/p/pnsku/N70105598V/45/_/1726211186/26eb853a-bcbd-43d7-a45d-570a0da4a5cf.jpg?format=jpg&width=240,iPhone 16 Pro Max 1TB White Titanium 5G With FaceTime - Middle East Version,,iOS 18,1,,8 GB,7799.0,1 TB,https://www.noon.com/uae-en/iphone-16-pro-max-1tb-white-titanium-5g-with-facetime-middle-east-version/N70105600V/p/?o=bcc69db70746271d
Mobile,Black,AED,https://f.nooncdn.com/p/pnsku/N70105525V/45/_/1725964810/098b0846-7a2c-41db-bfca-6f445762f0f8.jpg?format=jpg&width=240,iPhone 16 Plus 128GB Black 5G With FaceTime - Middle East Version,,iOS 18,1,Apple Bionic,8 GB,4099.0,128 GB,https://www.noon.com/uae-en/iphone-16-plus-128gb-black-5g-with-facetime-middle-east-version/N70105525V/p/?o=b306a0f7ae8928bb
Mobile,Desert Titanium,AED,https://f.nooncdn.com/p/pnsku/N70105602V/45/_/1725965016/ab80410e-c377-49c9-b2f6-eaa1b9cedae3.jpg?format=jpg&width=240,iPhone 16 Pro 1TB Desert Titanium 5G With FaceTime - Middle East Version,,iOS 18,1,,8 GB,7199.0,1 TB,https://www.noon.com/uae-en/iphone-16-pro-1tb-desert-titanium-5g-with-facetime-middle-east-version/N70105601V/p/?o=ebf5f7e587285ead
Mobile,Titanium Black,AED,https://f.nooncdn.com/p/pnsku/N70035265V/45/_/1712239189/479179d5-3f20-4b07-96bf-3ae9bca7b58e.jpg?format=jpg&width=240,Galaxy S24 Ultra Dual SIM Titanium Black 12GB RAM 256GB 5G - Middle East Version,3349.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s24-ultra-dual-sim-titanium-black-12gb-ram-256gb-5g-middle-east-version/N70035265V/p/?o=daf044994164970e
Mobile,Titanium Black,AED,https://f.nooncdn.com/p/pnsku/N70035265V/45/_/1712239189/479179d5-3f20-4b07-96bf-3ae9bca7b58e.jpg?format=jpg&width=240,Galaxy S24 Ultra Dual SIM Titanium Black 12GB RAM 256GB 5G - Middle East Version,3169.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s24-ultra-dual-sim-titanium-black-12gb-ram-256gb-5g-middle-east-version/N70035265V/p/?o=e52503140e9cf82c
Laptop,Silver,AED,,"Pavilion Laptop With 15.6-Inch FHD Display, AMD Ryzen 5 5500U Processor/32GB RAM/1TB SSD/Integrated Graphics/Windows 11 English Silver",1998.0,Windows 11,1,,32 GB,2239.0,1 TB,https://www.noon.com/uae-en/pavilion-laptop-with-15-6-inch-fhd-display-amd-ryzen-5-5500u-processor-32gb-ram-1tb-ssd-integrated-graphics-windows-11-english-silver/N53429447A/p/?o=ccac0d3ba6f7c5fc
Laptop,Black,AED,,"Renewed - Latitude 7400 Laptop With 14-Inch Display,Intel Core i5 Processor/8th Gen/16GB RAM/256GB SSD/Windows 10 Pro English Black",734.4,Windows 10 Pro,1,,16 GB,1319.0,256 GB,https://www.noon.com/uae-en/renewed-latitude-7400-laptop-with-14-inch-display-intel-core-i5-processor-8th-gen-16gb-ram-256gb-ssd-windows-10-pro-english-black/N51630067A/p/?o=eaff68979d97da0c
Laptop,Carbon Black,AED,,"Vostro 3520 Laptop With 15.6-Inch FHD Display, Core i3-1215U Processor/8GB RAM/512GB SSD/Intel UHD Graphics/DOS(Without Windows) English/Arabic Carbon Black",1190.4,Free DOS,1,,8 GB,1589.0,512 GB,https://www.noon.com/uae-en/vostro-3520-laptop-with-15-6-inch-fhd-display-core-i3-1215u-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-dos-without-windows-english-arabic-carbon-black/N70055459V/p/?o=fb60d003efa134af
