colour,currency,image,name,offer_price,os_version,page_number,processor,ram,regular_price,rom,url
Black,AED,,Y9 (2019) Dual SIM Black 6GB RAM 128GB 4G LTE,183.0,Android 8.0/8.1(Oreo),1,HiSilicon Kirin,6 GB,799.0,128 GB,https://www.noon.com/uae-en/y9-2019-dual-sim-black-6gb-ram-128gb-4g-lte/N18768182A/p/?o=e31a820cb8ad594a
Milk,AED,https://f.nooncdn.com/p/pnsku/N70052192V/45/_/1710155785/a1f5fb2c-e410-4da9-a6a7-10c3b6af8d9f.jpg?format=jpg&width=240,Phone 2A 5G Dual SIM Milk 12GB RAM 256GB With CMF Buds And Charger - Middle East Version,,,1,MediaTek Dimensity,12 GB,1379.0,256 GB,https://www.noon.com/uae-en/phone-2a-5g-dual-sim-milk-12gb-ram-256gb-with-cmf-buds-and-charger-middle-east-version/N70052191V/p/?o=eda52d091a500c8c
Leather Blue,AED,https://f.nooncdn.com/p/pnsku/N70086811V/45/_/1721803837/06f44f41-4177-40ed-8c31-ab797c0feb5f.jpg?format=jpg&width=240,C63 Dual SIM Leather Blue 8GB RAM 256GB 4G - Middle East Version,509.0,Android 14,1,Unisoc,8 GB,649.0,256 GB,https://www.noon.com/uae-en/c63-dual-sim-leather-blue-8gb-ram-256gb-4g-middle-east-version/N70086810V/p/?o=b70ed8ed59081ccd
Mystery Black,AED,,A31 Dual SIM Mystery Black 6GB RAM 128GB 4G LTE - International Version,173.0,,1,,6 GB,361.0,128 GB,https://www.noon.com/uae-en/a31-dual-sim-mystery-black-6gb-ram-128gb-4g-lte-international-version/N53334765A/p/?o=dc977fa179692d7d
Titanium Black,AED,https://f.nooncdn.com/p/pnsku/N70035265V/45/_/1712239189/479179d5-3f20-4b07-96bf-3ae9bca7b58e.jpg?format=jpg&width=240,Galaxy S24 Ultra Dual SIM Titanium Black 12GB RAM 256GB 5G - Middle East Version,3189.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s24-ultra-dual-sim-titanium-black-12gb-ram-256gb-5g-middle-east-version/N70035265V/p/?o=e52503140e9cf82c
Midnight Black,AED,https://f.nooncdn.com/p/pnsku/N70045419V/45/_/1707535869/3d0670db-bdf8-41a8-b3de-86a08fae249e.jpg?format=jpg&width=240,90 Lite 5G Dual Sim 8Gb Ram 256Gb Rom Midnight Black - International Version,549.0,,1,,8 GB,899.0,256 GB,https://www.noon.com/uae-en/90-lite-5g-dual-sim-8gb-ram-256gb-rom-midnight-black-international-version/N70045418V/p/?o=b7299be7a9d990cb
Navy,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Galaxy Z Fold 6 Single SIM + eSIM Navy 12GB RAM 256GB 5G - Middle East Version,6199.0,Android 14,1,Qualcomm Snapdragon,12 GB,7199.0,256 GB,https://www.noon.com/uae-en/galaxy-z-fold-6-single-sim-esim-navy-12gb-ram-256gb-5g-middle-east-version/N70085309V/p/?o=c8920b04ae927ccb
Phantom Black,AED,https://f.nooncdn.com/p/v1687430489/N53379182A_1.jpg?format=jpg&width=240,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version,2445.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s23-ultra-5g-dual-sim-phantom-black-12gb-ram-256gb-international-version/N53379147A/p/?o=a197abcc04e59e7b
Temporal Orbits,AED,https://f.nooncdn.com/p/pnsku/N70065442V/45/_/1714373243/0e56b486-fe32-48c0-ae8d-bc9acf00dbe5.jpg?format=jpg&width=240,SPARK 20 Pro+ Temporal Orbits Dual SIM 8GB RAM 256GB - Middle East Version,,,1,,8 GB,749.0,256 GB,https://www.noon.com/uae-en/spark-20-pro-temporal-orbits-dual-sim-8gb-ram-256gb-middle-east-version/N70065443V/p/?o=cbe6923b2dff2c0b
Black Titanium,AED,https://f.nooncdn.com/p/pnsku/N70106150V/45/_/1725964951/3782e205-1aef-4490-92bc-482b9c4bab0c.jpg?format=jpg&width=240,iPhone 16 Pro 128GB Black Titanium 5G With FaceTime - International Version,,iOS 18,1,,8 GB,4749.0,128 GB,https://www.noon.com/uae-en/iphone-16-pro-128gb-black-titanium-5g-with-facetime-international-version/N70106150V/p/?o=ffa1363a9bef024a
Phantom Black,AED,https://f.nooncdn.com/p/pnsku/N53374464A/45/_/1712239192/bcacc0c1-f7a4-4d37-91b3-731a6b0f67a5.jpg?format=jpg&width=240,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB  - Middle East Version,2699.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s23-ultra-5g-dual-sim-phantom-black-12gb-ram-256gb-middle-east-version/N53374783A/p/?o=b1f751182baca97b
Black Titanium,AED,https://f.nooncdn.com/p/pnsku/N70105598V/45/_/1726211186/26eb853a-bcbd-43d7-a45d-570a0da4a5cf.jpg?format=jpg&width=240,iPhone 16 Pro Max 1TB Black Titanium 5G With FaceTime - Middle East Version,,iOS 18,1,,8 GB,7799.0,1 TB,https://www.noon.com/uae-en/iphone-16-pro-max-1tb-black-titanium-5g-with-facetime-middle-east-version/N70105598V/p/?o=d126889e9e0e5c2a
Phantom Black,AED,https://f.nooncdn.com/p/pnsku/N53374464A/45/_/1712239192/bcacc0c1-f7a4-4d37-91b3-731a6b0f67a5.jpg?format=jpg&width=240,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB  - Middle East Version,2529.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s23-ultra-5g-dual-sim-phantom-black-12gb-ram-256gb-middle-east-version/N53374783A/p/?o=e6de4621047e2a8b
Desert Titanium,AED,https://f.nooncdn.com/p/pnsku/N70105563V/45/_/1725964952/8f54de44-bf58-41c5-99d3-a49f62f8f661.jpg?format=jpg&width=240,iPhone 16 Pro 512GB Desert Titanium 5G With FaceTime - Middle East Version,,iOS 18,1,,8 GB,6199.0,512 GB,https://www.noon.com/uae-en/iphone-16-pro-512gb-desert-titanium-5g-with-facetime-middle-east-version/N70105564V/p/?o=a9ec49c5916c88dc
Titanium Gray,AED,https://f.nooncdn.com/p/pnsku/N70035265V/45/_/1712239189/479179d5-3f20-4b07-96bf-3ae9bca7b58e.jpg?format=jpg&width=240,Galaxy S24 Ultra Dual SIM Titanium Gray 12GB RAM 256GB 5G - Middle East Version,3189.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s24-ultra-dual-sim-titanium-gray-12gb-ram-256gb-5g-middle-east-version/N70035206V/p/?o=acc15d898eb3c74c
White Titanium,AED,https://f.nooncdn.com/p/pnsku/N70105579V/45/_/1725965028/655e67ae-fda2-4075-9eba-7cc281a9f427.jpg?format=jpg&width=240,iPhone 16 Pro 256GB White Titanium 5G With FaceTime - Middle East Version,,iOS 18,1,,8 GB,5299.0,256 GB,https://www.noon.com/uae-en/iphone-16-pro-256gb-white-titanium-5g-with-facetime-middle-east-version/N70105565V/p/?o=c2c2aa14dd76c1ef
